"county","year","household_type","housing_burden","share","source"
"San Mateo","2,019","All","20% to 34% of income","0.27937783588","ACS_B25074_B25095_1YR"
"Santa Clara","2,019","All","20% to 34% of income","0.2955033574","ACS_B25074_B25095_1YR"
"Solano","2,019","All","20% to 34% of income","0.34861538253","ACS_B25074_B25095_1YR"
"Sonoma","2,019","All","20% to 34% of income","0.33341074052","ACS_B25074_B25095_1YR"
"Alameda","2,019","All","At least 35% of income","0.29118886773","ACS_B25074_B25095_1YR"
"Contra Costa","2,019","All","At least 35% of income","0.28323227672","ACS_B25074_B25095_1YR"
"Marin","2,019","All","At least 35% of income","0.32799191855","ACS_B25074_B25095_1YR_5YR"
"Napa","2,019","All","At least 35% of income","0.31350498994","ACS_B25074_B25095_1YR_5YR"
"San Francisco","2,019","All","At least 35% of income","0.23901857025","ACS_B25074_B25095_1YR"
"San Mateo","2,019","All","At least 35% of income","0.27408290395","ACS_B25074_B25095_1YR"
"Santa Clara","2,019","All","At least 35% of income","0.26735551808","ACS_B25074_B25095_1YR"
"Solano","2,019","All","At least 35% of income","0.27651615444","ACS_B25074_B25095_1YR"
"Sonoma","2,019","All","At least 35% of income","0.30174220168","ACS_B25074_B25095_1YR"
"Alameda","2,020","All","Less than 20% of income","0.37870962672","ACS_B25074_B25095_5YR"
"Contra Costa","2,020","All","Less than 20% of income","0.38944649579","ACS_B25074_B25095_5YR"
"Marin","2,020","All","Less than 20% of income","0.37558123699","ACS_B25074_B25095_5YR"
"Napa","2,020","All","Less than 20% of income","0.38627243928","ACS_B25074_B25095_5YR"
"San Francisco","2,020","All","Less than 20% of income","0.44192209369","ACS_B25074_B25095_5YR"
"San Mateo","2,020","All","Less than 20% of income","0.40544368257","ACS_B25074_B25095_5YR"
